1 > src/encoder.c:2081
1 = src/encoder.c:2096
1 = src/encoder.c:2097
1 = src/encoder.c:2116
1 = src/encoder.c:2131
1 = src/encoder.c:2116
3 = src/encoder.c:889
1 = src/encoder.c:2131
2 = src/encoder.c:1385
3 = src/encoder.c:901
1 = src/encoder.c:2116
3 = src/encoder.c:919
2 = src/encoder.c:1393
3 = src/encoder.c:932
1 = src/encoder.c:2131
1 = src/encoder.c:2137
5 = src/encoder.c:889
1 = src/encoder.c:2138
4 = src/encoder.c:889
3 = src/encoder.c:936
2 = src/encoder.c:1400
2 = src/encoder.c:1422
5 = src/encoder.c:901
2 = src/encoder.c:1445
1 = src/encoder.c:2154
2 = src/encoder.c:1473
2 = src/encoder.c:1477
1 = src/encoder.c:2178
1 = src/encoder.c:2154
2 = src/encoder.c:1478
4 = src/encoder.c:901
5 = src/encoder.c:919
6 = src/encoder.c:691
2 = src/encoder.c:1482
6 = src/encoder.c:701
1 = src/encoder.c:2156
4 = src/encoder.c:919
4 = src/encoder.c:932
5 = src/encoder.c:932
2 = src/encoder.c:1484
6 = src/encoder.c:717
4 = src/encoder.c:936
1 = src/encoder.c:2178
5 = src/encoder.c:936
6 = src/encoder.c:721
2 = src/encoder.c:1486
4 = src/encoder.c:947
2 = src/encoder.c:1493
4 = src/encoder.c:958
3 = src/encoder.c:947
4 = src/encoder.c:971
1 = src/encoder.c:2154
6 = src/encoder.c:727
7 = src/encoder.c:691
4 = src/encoder.c:999
2 = src/encoder.c:1497
5 = src/encoder.c:947
4 = src/encoder.c:1015
2 = src/encoder.c:1499
4 = src/encoder.c:1035
1 = src/encoder.c:2178
7 = src/encoder.c:701
4 = src/encoder.c:1065
6 = src/encoder.c:98
4 = src/encoder.c:98
6 = src/encoder.c:99
5 = src/encoder.c:958
6 = src/encoder.c:100
7 = src/encoder.c:717
5 = src/encoder.c:971
6 = src/encoder.c:101
3 = src/encoder.c:958
5 = src/encoder.c:999
2 = src/encoder.c:1500
4 = src/encoder.c:99
1 = src/encoder.c:2225
5 = src/encoder.c:1015
3 = src/encoder.c:960
1 = src/encoder.c:2229
3 = src/encoder.c:971
4 = src/encoder.c:100
5 = src/encoder.c:1017
8 = src/encoder.c:691
5 = src/encoder.c:1035
5 = src/encoder.c:1065
5 = src/encoder.c:98
7 = src/encoder.c:721
1 = src/encoder.c:2242
4 = src/encoder.c:101
7 = src/encoder.c:727
2 = src/rabin.c:256
5 = src/encoder.c:99
5 = src/encoder.c:100
8 = src/encoder.c:701
5 = src/encoder.c:101
1 = src/encoder.c:2263
1 = src/encoder.c:2242
7 = src/encoder.c:98
2 = src/rabin.c:174
1 = src/encoder.c:2263
3 = src/encoder.c:999
8 = src/encoder.c:703
8 = src/encoder.c:717
9 = src/encoder.c:374
7 = src/encoder.c:99
3 = src/encoder.c:1001
4 = src/encoder.c:102
7 = src/encoder.c:100
3 = src/encoder.c:1015
6 = src/encoder.c:102
6 = src/encoder.c:104
4 = src/encoder.c:104
4 = src/encoder.c:105
2 = src/rabin.c:195
7 = src/encoder.c:101
7 = src/encoder.c:102
8 = src/encoder.c:721
5 = src/encoder.c:102
4 = src/encoder.c:105
4 = src/encoder.c:105
9 = src/encoder.c:415
3 = src/encoder.c:1035
2 = src/rabin.c:197
8 = src/encoder.c:727
2 = src/rabin.c:22
5 = src/encoder.c:104
8 = src/encoder.c:98
9 = src/encoder.c:459
5 = src/encoder.c:105
6 = src/encoder.c:105
