1 > src/encoder.c:1872
1 = src/encoder.c:1874
1 = src/encoder.c:1878
1 = src/encoder.c:1879
1 = src/encoder.c:1890
1 = src/encoder.c:1879
3 = src/encoder.c:809
1 = src/encoder.c:1890
1 = src/encoder.c:1879
1 = src/encoder.c:1890
1 = src/encoder.c:1904
3 = src/encoder.c:813
5 = src/encoder.c:809
1 = src/encoder.c:1908
1 = src/encoder.c:1909
4 = src/encoder.c:809
1 = src/encoder.c:1916
2 = src/encoder.c:1285
3 = src/encoder.c:822
4 = src/encoder.c:813
1 = src/encoder.c:1909
5 = src/encoder.c:813
3 = src/encoder.c:824
1 = src/encoder.c:1916
3 = src/encoder.c:829
6 = src/encoder.c:628
5 = src/encoder.c:822
2 = src/encoder.c:1289
3 = src/encoder.c:833
2 = src/encoder.c:1293
4 = src/encoder.c:822
3 = src/encoder.c:837
5 = src/encoder.c:829
3 = src/encoder.c:844
4 = src/encoder.c:829
6 = src/encoder.c:629
4 = src/encoder.c:833
3 = src/encoder.c:873
2 = src/encoder.c:1295
3 = src/encoder.c:877
6 = src/encoder.c:645
1 = src/encoder.c:1909
7 = src/encoder.c:628
1 = src/encoder.c:1916
4 = src/encoder.c:837
1 = src/encoder.c:1923
8 = src/encoder.c:628
3 = src/encoder.c:893
5 = src/encoder.c:833
5 = src/encoder.c:837
4 = src/encoder.c:839
8 = src/encoder.c:629
8 = src/encoder.c:645
1 = src/encoder.c:1927
4 = src/encoder.c:844
3 = src/encoder.c:917
3 = src/encoder.c:925
3 = src/encoder.c:98
4 = src/encoder.c:873
4 = src/encoder.c:877
5 = src/encoder.c:844
5 = src/encoder.c:873
4 = src/encoder.c:893
5 = src/encoder.c:877
5 = src/encoder.c:893
6 = src/encoder.c:652
5 = src/encoder.c:917
8 = src/encoder.c:652
7 = src/encoder.c:629
4 = src/encoder.c:917
5 = src/encoder.c:925
1 = src/encoder.c:1940
4 = src/encoder.c:925
2 = src/encoder.c:1297
8 = src/encoder.c:655
5 = src/encoder.c:98
4 = src/encoder.c:98
7 = src/encoder.c:645
1 = src/encoder.c:1947
1 = src/encoder.c:1940
8 = src/encoder.c:98
3 = src/encoder.c:99
3 = src/encoder.c:100
2 = src/encoder.c:1313
3 = src/encoder.c:116
1 = src/encoder.c:1947
7 = src/encoder.c:652
7 = src/encoder.c:655
6 = src/encoder.c:655
4 = src/encoder.c:99
9 = src/encoder.c:363
9 = src/encoder.c:389
7 = src/encoder.c:98
2 = src/encoder.c:1316
1 = src/encoder.c:1940
2 = src/encoder.c:1320
6 = src/encoder.c:98
10 = src/encoder.c:363
1 = src/encoder.c:1947
1 = src/encoder.c:1982
6 = src/encoder.c:99
8 = src/encoder.c:99
8 = src/encoder.c:100
1 = src/encoder.c:1983
7 = src/encoder.c:99
4 = src/encoder.c:100
8 = src/encoder.c:116
4 = src/encoder.c:116
6 = src/encoder.c:100
1 = src/encoder.c:1990
9 = src/encoder.c:399
10 = src/encoder.c:389
5 = src/encoder.c:99
2 = src/encoder.c:1321
2 = src/encoder.c:1322
3 = src/encoder.c:117
11 = src/encoder.c:363
5 = src/encoder.c:100
10 = src/encoder.c:399
2 = src/encoder.c:1323
5 = src/encoder.c:116
3 = src/encoder.c:119
2 = src/encoder.c:1327
7 = src/encoder.c:100
5 = src/encoder.c:117
9 = src/encoder.c:442
11 = src/encoder.c:389
10 = src/encoder.c:442
9 = src/encoder.c:459
4 = src/encoder.c:117
8 = src/encoder.c:117
11 = src/encoder.c:399
3 = src/encoder.c:120
2 = src/encoder.c:1328
10 = src/encoder.c:459
2 = src/encoder.c:1333
5 = src/encoder.c:119
6 = src/encoder.c:116
9 = src/encoder.c:98
5 = src/encoder.c:120
11 = src/encoder.c:442
3 = src/encoder.c:120
11 = src/encoder.c:444
7 = src/encoder.c:116
7 = src/encoder.c:117
6 = src/encoder.c:117
8 = src/encoder.c:119
7 = src/encoder.c:119
9 = src/encoder.c:99
4 = src/encoder.c:119
6 = src/encoder.c:119
5 = src/encoder.c:120
6 = src/encoder.c:120
7 = src/encoder.c:120
9 = src/encoder.c:100
4 = src/encoder.c:120
3 = src/encoder.c:120
7 = src/encoder.c:120
6 = src/encoder.c:120
11 = src/encoder.c:459
11 = src/encoder.c:98
7 = src/encoder.c:120
7 = src/encoder.c:120
11 = src/encoder.c:99
8 = src/encoder.c:120
4 = src/encoder.c:120
4 = src/encoder.c:120
6 = src/encoder.c:120
10 = src/encoder.c:98
2 = src/encoder.c:1335
2 = src/encoder.c:1336
2 = src/encoder.c:1337
2 = src/encoder.c:1338
2 = src/encoder.c:1339
2 = src/encoder.c:1340
2 = src/encoder.c:1341
2 = src/encoder.c:1342
2 = src/encoder.c:1343
2 = src/encoder.c:1344
2 = src/encoder.c:1345
2 = src/encoder.c:1346
2 = src/encoder.c:1347
2 = src/encoder.c:1348
2 = src/encoder.c:1349
1 = src/encoder.c:1992
1 = src/encoder.c:1993
1 = src/encoder.c:1994
1 = src/encoder.c:1995
1 = src/encoder.c:1996
1 = src/encoder.c:1997
1 = src/encoder.c:1998
1 = src/encoder.c:1999
1 = src/encoder.c:2000
1 = src/encoder.c:2001
1 = src/encoder.c:2002
1 = src/encoder.c:2003
1 = src/encoder.c:2004
1 = src/encoder.c:2005
1 = src/encoder.c:2006
1 = src/encoder.c:2007
1 = src/encoder.c:2008
1 = src/encoder.c:2009
1 = src/encoder.c:2010
2 = src/encoder.c:1350
2 = src/encoder.c:1353
2 = src/encoder.c:1354
