1 > src/encoder.c:1872
1 = src/encoder.c:1874
1 = src/encoder.c:1876
2 = src/encoder.c:1288
2 = src/encoder.c:1292
2 = src/encoder.c:1296
1 = src/encoder.c:1878
1 = src/encoder.c:1889
1 = src/encoder.c:1898
1 = src/encoder.c:1889
2 = src/encoder.c:1306
2 = src/encoder.c:1313
3 = src/encoder.c:812
3 = src/encoder.c:816
1 = src/encoder.c:1898
3 = src/encoder.c:828
3 = src/encoder.c:832
1 = src/encoder.c:1900
1 = src/encoder.c:1889
1 = src/encoder.c:1898
2 = src/encoder.c:1319
2 = src/encoder.c:1320
3 = src/encoder.c:833
3 = src/encoder.c:843
3 = src/encoder.c:869
3 = src/encoder.c:876
3 = src/encoder.c:887
4 = src/encoder.c:812
2 = src/encoder.c:1321
4 = src/encoder.c:816
3 = src/encoder.c:916
3 = src/encoder.c:917
3 = src/encoder.c:945
1 = src/encoder.c:1904
3 = src/encoder.c:98
5 = src/encoder.c:812
2 = src/encoder.c:1322
2 = src/encoder.c:1323
1 = src/encoder.c:1906
5 = src/encoder.c:816
3 = src/encoder.c:99
2 = src/encoder.c:1327
3 = src/encoder.c:115
5 = src/encoder.c:828
4 = src/encoder.c:828
4 = src/encoder.c:832
2 = src/encoder.c:1328
2 = src/encoder.c:1355
5 = src/encoder.c:832
2 = src/encoder.c:1365
5 = src/encoder.c:833
1 = src/encoder.c:1908
2 = src/rabin.c:205
1 = src/encoder.c:1915
5 = src/encoder.c:843
2 = src/rabin.c:176
4 = src/encoder.c:833
3 = src/encoder.c:116
3 = src/encoder.c:117
4 = src/encoder.c:843
2 = src/rabin.c:177
4 = src/encoder.c:869
1 = src/encoder.c:1916
5 = src/encoder.c:869
4 = src/encoder.c:876
2 = src/rabin.c:22
3 = src/encoder.c:119
3 = src/encoder.c:120
1 = src/encoder.c:1915
6 = src/encoder.c:628
1 = src/encoder.c:1916
4 = src/encoder.c:887
4 = src/encoder.c:916
6 = src/encoder.c:632
3 = src/encoder.c:120
3 = src/encoder.c:120
4 = src/encoder.c:917
3 = src/encoder.c:120
3 = src/encoder.c:120
3 = src/encoder.c:120
5 = src/encoder.c:876
6 = src/encoder.c:648
2 = src/rabin.c:23
6 = src/encoder.c:652
2 = src/rabin.c:81
3 = src/encoder.c:120
2 = src/rabin.c:23
4 = src/encoder.c:945
4 = src/encoder.c:98
6 = src/encoder.c:658
5 = src/encoder.c:887
6 = src/encoder.c:98
2 = src/rabin.c:81
4 = src/encoder.c:99
3 = src/encoder.c:120
1 = src/encoder.c:1915
5 = src/encoder.c:916
4 = src/encoder.c:115
6 = src/encoder.c:99
3 = src/encoder.c:120
4 = src/encoder.c:116
2 = src/rabin.c:23
3 = src/encoder.c:120
2 = src/rabin.c:81
6 = src/encoder.c:115
2 = src/rabin.c:23
5 = src/encoder.c:917
4 = src/encoder.c:117
3 = src/encoder.c:120
4 = src/encoder.c:119
2 = src/rabin.c:81
6 = src/encoder.c:116
2 = src/rabin.c:83
3 = src/encoder.c:120
3 = src/encoder.c:120
7 = src/encoder.c:628
3 = src/encoder.c:120
7 = src/encoder.c:632
6 = src/encoder.c:117
6 = src/encoder.c:119
7 = src/encoder.c:648
2 = src/rabin.c:23
1 = src/encoder.c:1916
6 = src/encoder.c:120
1 = src/encoder.c:1926
4 = src/encoder.c:120
6 = src/encoder.c:120
7 = src/encoder.c:652
1 = src/encoder.c:1927
2 = src/rabin.c:81
5 = src/encoder.c:945
4 = src/encoder.c:120
3 = src/encoder.c:120
7 = src/encoder.c:658
1 = src/encoder.c:1943
6 = src/encoder.c:120
8 = src/encoder.c:628
8 = src/encoder.c:632
5 = src/encoder.c:98
5 = src/encoder.c:99
8 = src/encoder.c:648
4 = src/encoder.c:120
3 = src/encoder.c:120
3 = src/encoder.c:120
3 = src/encoder.c:120
7 = src/encoder.c:98
6 = src/encoder.c:120
8 = src/encoder.c:652
5 = src/encoder.c:115
7 = src/encoder.c:99
4 = src/encoder.c:120
6 = src/encoder.c:120
1 = src/encoder.c:1947
2 = src/rabin.c:23
8 = src/encoder.c:658
6 = src/encoder.c:120
7 = src/encoder.c:115
7 = src/encoder.c:116
8 = src/encoder.c:660
8 = src/encoder.c:661
8 = src/encoder.c:662
1 = src/encoder.c:1949
1 = src/encoder.c:1950
1 = src/encoder.c:1951
1 = src/encoder.c:1952
1 = src/encoder.c:1953
1 = src/encoder.c:1954
1 = src/encoder.c:1955
1 = src/encoder.c:1956
1 = src/encoder.c:1957
1 = src/encoder.c:1958
1 = src/encoder.c:1959
1 = src/encoder.c:1960
8 = src/encoder.c:663
8 = src/encoder.c:666
8 = src/encoder.c:667
